Date,Open,High,Low,Close
04/14/2020,"6,763","6,983","6,763","6,872"
04/13/2020,"7,143","7,143","6,628","6,827"
04/12/2020,"6,814","7,196","6,795","7,143"
04/11/2020,"6,910","6,949","6,796","6,814"
04/10/2020,"7,315","7,315","6,766","6,919"
04/09/2020,"7,341","7,364","7,119","7,302"
04/08/2020,"7,360","7,419","7,218","7,327"
04/07/2020,"7,298","7,459","7,082","7,118"
04/06/2020,"6,762","7,306","6,731","7,298"
04/05/2020,"6,854","6,892","6,691","6,762"
04/04/2020,"6,704","6,968","6,681","6,854"
04/03/2020,"6,833","7,043","6,631","6,710"
04/02/2020,"6,357","7,219","6,357","6,833"
04/01/2020,"6,482","6,498","6,169","6,362"
03/31/2020,"6,478","6,575","6,350","6,482"
03/30/2020,"5,955","6,497","5,867","6,472"
03/29/2020,"6,263","6,274","5,881","5,954"
03/28/2020,"6,681","6,703","6,045","6,263"
03/27/2020,"6,739","6,842","6,588","6,679"
03/26/2020,"6,598","6,772","6,550","6,739"
03/25/2020,"6,751","6,967","6,489","6,597"
03/24/2020,"6,413","6,831","6,377","6,751"
03/23/2020,"5,934","6,614","5,730","6,408"
03/22/2020,"6,336","6,450","5,812","5,934"
03/21/2020,"5,964","6,376","5,897","6,343"
03/20/2020,"6,241","6,891","5,690","5,968"
03/19/2020,"5,339","6,365","5,267","6,241"
03/18/2020,"5,474","5,524","5,031","5,338"
03/17/2020,"4,904","5,502","4,882","5,474"
03/16/2020,"5,188","5,959","4,461","4,904"
03/15/2020,"5,354","5,583","5,074","5,187"
03/14/2020,"5,436","5,766","5,224","5,354"
03/13/2020,"5,747","6,029","3,966","5,435"
03/12/2020,"7,872","7,992","5,626","5,772"
03/11/2020,"8,007","8,044","7,617","7,872"
03/10/2020,"7,860","8,163","7,772","7,984"
03/09/2020,"8,285","8,301","7,665","7,860"
03/08/2020,"8,899","8,938","8,204","8,286"
03/07/2020,"9,145","9,210","8,874","8,900"
03/06/2020,"9,123","9,182","9,006","9,145"
03/05/2020,"8,741","9,170","8,740","9,126"
03/04/2020,"8,749","8,854","8,693","8,741"
03/03/2020,"8,952","8,977","8,676","8,749"
03/02/2020,"8,524","8,954","8,505","8,951"
03/01/2020,"8,641","8,752","8,439","8,524"
02/29/2020,"8,676","8,814","8,596","8,640"
02/28/2020,"8,760","8,903","8,446","8,676"
02/27/2020,"8,754","8,971","8,535","8,756"
02/26/2020,"9,391","9,425","8,648","8,763"
02/25/2020,"9,607","9,673","9,262","9,383"
02/24/2020,"9,886","10,019","9,494","9,607"
02/23/2020,"9,693","9,991","9,665","9,886"
02/22/2020,"9,667","9,724","9,573","9,693"
02/21/2020,"9,613","9,759","9,580","9,667"
02/20/2020,"9,599","9,694","9,470","9,613"
02/19/2020,"10,134","10,287","9,392","9,608"
02/18/2020,"9,653","10,262","9,622","10,134"
02/17/2020,"9,776","9,996","9,484","9,652"
02/16/2020,"9,921","10,040","9,656","9,776"
02/15/2020,"10,339","10,387","9,826","9,921"
02/14/2020,"10,180","10,383","10,103","10,339"
02/13/2020,"10,385","10,492","10,097","10,182"
02/12/2020,"10,225","10,471","10,216","10,379"
02/11/2020,"9,865","10,379","9,717","10,225"
02/10/2020,"10,073","10,188","9,744","9,865"
02/09/2020,"9,924","10,169","9,865","10,073"
02/08/2020,"9,740","9,934","9,663","9,924"
02/07/2020,"9,732","9,862","9,667","9,740"
02/06/2020,"9,693","9,851","9,540","9,731"
02/05/2020,"9,150","9,751","9,143","9,693"
02/04/2020,"9,281","9,349","9,094","9,149"
02/03/2020,"9,450","9,588","9,232","9,281"
02/02/2020,"9,371","9,478","9,162","9,450"
02/01/2020,"9,362","9,459","9,303","9,371"
01/31/2020,"9,549","9,559","9,217","9,362"
01/30/2020,"9,362","9,557","9,197","9,547"
01/29/2020,"9,051","9,423","9,049","9,362"
01/28/2020,"8,954","9,183","8,886","9,061"
01/27/2020,"8,591","8,989","8,552","8,954"
01/26/2020,"8,377","8,598","8,294","8,591"
01/25/2020,"8,501","8,505","8,268","8,376"
01/24/2020,"8,391","8,511","8,230","8,501"
01/23/2020,"8,641","8,665","8,290","8,391"
01/22/2020,"8,723","8,784","8,577","8,641"
01/21/2020,"8,667","8,771","8,507","8,724"
01/20/2020,"8,718","8,741","8,519","8,667"
01/19/2020,"8,910","9,176","8,484","8,718"
01/18/2020,"8,898","8,973","8,806","8,910"
01/17/2020,"8,682","8,992","8,672","8,897"
01/16/2020,"8,816","8,856","8,591","8,682"
01/15/2020,"8,732","8,881","8,577","8,816"
01/14/2020,"8,133","8,826","8,105","8,732"
01/13/2020,"8,100","8,193","8,054","8,133"
01/12/2020,"8,102","8,172","7,964","8,106"
01/11/2020,"8,054","8,273","7,989","8,106"
01/10/2020,"7,787","8,126","7,685","8,054"
01/09/2020,"8,004","8,104","7,754","7,789"
01/08/2020,"8,020","8,454","7,881","8,004"
01/07/2020,"7,579","8,187","7,579","8,020"
01/06/2020,"7,370","7,603","7,327","7,574"
01/05/2020,"7,349","7,493","7,336","7,376"
01/04/2020,"7,281","7,399","7,269","7,349"
01/03/2020,"6,975","7,411","6,880","7,280"
01/02/2020,"7,229","7,230","6,929","6,975"
01/01/2020,"7,171","7,245","7,167","7,229"
12/31/2019,"7,254","7,309","7,132","7,171"
12/30/2019,"7,402","7,430","7,217","7,254"
12/29/2019,"7,334","7,529","7,295","7,402"
12/28/2019,"7,235","7,359","7,235","7,334"
12/27/2019,"7,208","7,267","7,087","7,235"
12/26/2019,"7,218","7,437","7,179","7,208"
12/25/2019,"7,255","7,268","7,130","7,214"
12/24/2019,"7,328","7,417","7,168","7,255"
12/23/2019,"7,420","7,696","7,302","7,328"
12/22/2019,"7,145","7,463","7,138","7,420"
12/21/2019,"7,209","7,215","7,128","7,147"
12/20/2019,"7,169","7,225","7,094","7,209"
12/19/2019,"7,144","7,447","7,065","7,170"
12/18/2019,"6,633","7,222","6,459","7,143"
12/17/2019,"6,892","6,944","6,602","6,632"
12/16/2019,"7,133","7,152","6,856","6,892"
12/15/2019,"7,092","7,177","7,027","7,133"
12/14/2019,"7,252","7,274","7,022","7,092"
12/13/2019,"7,212","7,300","7,195","7,252"
12/12/2019,"7,204","7,299","7,103","7,212"
12/11/2019,"7,234","7,276","7,151","7,202"
12/10/2019,"7,371","7,396","7,191","7,234"
12/09/2019,"7,564","7,665","7,304","7,375"
12/08/2019,"7,510","7,585","7,409","7,564"
12/07/2019,"7,484","7,617","7,484","7,510"
12/06/2019,"7,390","7,619","7,335","7,484"
12/05/2019,"7,194","7,485","7,177","7,390"
12/04/2019,"7,342","7,740","7,111","7,194"
12/03/2019,"7,331","7,420","7,260","7,342"
12/02/2019,"7,393","7,464","7,193","7,331"
12/01/2019,"7,560","7,581","7,257","7,393"
11/30/2019,"7,721","7,812","7,486","7,559"
11/29/2019,"7,578","7,854","7,393","7,725"
11/28/2019,"7,558","7,661","7,436","7,578"
11/27/2019,"7,124","7,661","6,872","7,559"
11/26/2019,"7,236","7,348","7,054","7,129"
11/25/2019,"7,066","7,372","6,559","7,236"
11/24/2019,"7,295","7,352","6,958","7,066"
11/23/2019,"7,345","7,360","7,118","7,295"
11/22/2019,"7,617","7,722","6,816","7,345"
11/21/2019,"8,102","8,127","7,447","7,617"
11/20/2019,"8,124","8,219","8,051","8,099"
11/19/2019,"8,231","8,233","8,030","8,124"
11/18/2019,"8,565","8,565","8,083","8,231"
11/17/2019,"8,494","8,629","8,409","8,566"
