Date,Open,High,Low,Close
04/14/2021,"2,301.00","2,399.07","2,269.33","2,369.54"
04/13/2021,"2,146.50","2,315.00","2,137.08","2,301.00"
04/12/2021,"2,141.68","2,199.62","2,104.03","2,145.92"
04/11/2021,"2,087.48","2,163.94","2,082.37","2,144.51"
04/10/2021,"2,069.34","2,194.68","2,056.78","2,090.86"
04/09/2021,"2,055.02","2,100.41","2,045.00","2,070.83"
04/08/2021,"1,988.00","2,077.13","1,953.19","2,054.91"
04/07/2021,"2,121.69","2,126.17","1,937.28","1,983.56"
04/06/2021,"2,106.15","2,149.55","2,047.32","2,122.45"
04/05/2021,"2,061.67","2,129.92","2,004.69","2,104.42"
04/04/2021,"2,059.01","2,091.55","1,983.34","2,061.67"
04/03/2021,"2,091.00","2,143.99","2,006.37","2,061.32"
04/02/2021,"1,969.99","2,105.81","1,950.30","2,092.13"
04/01/2021,"1,940.25","1,982.53","1,899.37","1,969.99"
03/31/2021,"1,840.97","1,940.00","1,777.17","1,940.00"
03/30/2021,"1,808.81","1,858.98","1,787.20","1,840.99"
03/29/2021,"1,668.53","1,840.51","1,664.09","1,806.40"
03/28/2021,"1,718.51","1,731.63","1,661.91","1,667.28"
03/27/2021,"1,665.15","1,718.52","1,665.15","1,718.50"
03/26/2021,"1,604.02","1,675.00","1,580.08","1,664.68"
03/25/2021,"1,609.15","1,620.81","1,546.91","1,603.41"
03/24/2021,"1,669.76","1,740.91","1,584.09","1,615.01"
03/23/2021,"1,661.92","1,720.84","1,654.01","1,672.34"
03/22/2021,"1,800.06","1,810.37","1,678.35","1,678.35"
03/21/2021,"1,827.62","1,837.75","1,753.97","1,800.00"
03/20/2021,"1,814.56","1,868.08","1,803.41","1,827.61"
03/19/2021,"1,773.24","1,839.98","1,736.33","1,817.85"
03/18/2021,"1,816.89","1,848.95","1,759.83","1,774.49"
03/17/2021,"1,797.61","1,839.10","1,744.97","1,817.47"
03/16/2021,"1,792.84","1,818.00","1,712.60","1,797.41"
03/15/2021,"1,876.50","1,893.09","1,743.24","1,791.32"
03/14/2021,"1,912.12","1,938.52","1,840.00","1,876.05"
03/13/2021,"1,758.40","1,942.37","1,730.86","1,911.71"
03/12/2021,"1,842.00","1,846.61","1,723.95","1,758.32"
03/11/2021,"1,819.86","1,842.34","1,728.14","1,840.50"
03/10/2021,"1,825.01","1,877.07","1,759.34","1,816.73"
03/09/2021,"1,791.26","1,857.47","1,772.89","1,825.00"
03/08/2021,"1,664.00","1,793.00","1,663.27","1,790.92"
03/07/2021,"1,647.76","1,693.70","1,634.39","1,664.00"
03/06/2021,"1,535.30","1,669.66","1,514.25","1,642.70"
03/05/2021,"1,516.04","1,548.00","1,443.65","1,535.09"
03/04/2021,"1,592.11","1,624.67","1,505.69","1,516.45"
03/03/2021,"1,467.71","1,655.19","1,465.75","1,595.02"
03/02/2021,"1,547.00","1,605.03","1,457.48","1,467.94"
03/01/2021,"1,417.10","1,563.99","1,401.44","1,547.00"
02/28/2021,"1,506.45","1,509.95","1,297.64","1,416.12"
02/27/2021,"1,429.62","1,526.90","1,412.64","1,507.11"
02/26/2021,"1,520.00","1,562.66","1,403.00","1,429.31"
02/25/2021,"1,587.56","1,669.99","1,526.11","1,526.11"
02/24/2021,"1,536.41","1,714.96","1,504.28","1,591.57"
02/23/2021,"1,793.48","1,802.44","1,372.14","1,539.99"
02/22/2021,"1,911.65","1,939.70","870.00","1,799.77"
02/21/2021,"1,963.56","1,974.99","1,836.83","1,922.80"
02/20/2021,"1,957.92","2,035.95","1,928.01","1,968.81"
02/19/2021,"1,944.92","1,974.67","1,891.99","1,957.91"
02/18/2021,"1,856.64","1,949.72","1,832.98","1,944.68"
02/17/2021,"1,753.00","1,854.09","1,733.98","1,854.00"
02/16/2021,"1,791.89","1,825.11","1,726.00","1,753.24"
02/15/2021,"1,828.65","1,835.02","1,672.69","1,792.02"
02/14/2021,"1,814.19","1,851.80","1,787.99","1,828.54"
02/13/2021,"1,852.75","1,873.28","1,765.90","1,814.50"
02/12/2021,"1,769.00","1,861.74","1,741.55","1,851.59"
02/11/2021,"1,728.00","1,817.00","1,706.91","1,769.92"
02/10/2021,"1,769.71","1,837.84","1,682.00","1,727.99"
02/09/2021,"1,700.03","1,822.24","1,700.03","1,769.73"
02/08/2021,"1,599.33","1,774.62","1,569.98","1,702.98"
02/07/2021,"1,712.00","1,719.00","1,502.20","1,602.50"
02/06/2021,"1,718.46","1,743.59","1,648.73","1,710.88"
02/05/2021,"1,642.38","1,762.00","1,591.69","1,721.71"
02/04/2021,"1,636.13","1,696.88","1,562.90","1,642.51"
02/03/2021,"1,521.01","1,650.00","1,511.43","1,633.45"
02/02/2021,"1,350.78","1,539.88","1,344.88","1,516.43"
02/01/2021,"1,298.40","1,351.96","1,273.29","1,348.97"
01/31/2021,"1,386.28","1,391.57","1,284.67","1,296.00"
01/30/2021,"1,374.13","1,409.55","1,327.92","1,385.72"
01/29/2021,"1,354.54","1,438.01","1,293.16","1,375.79"
01/28/2021,"1,277.96","1,358.04","1,222.59","1,350.38"
01/27/2021,"1,335.00","1,375.47","1,210.05","1,275.28"
01/26/2021,"1,346.57","1,375.27","1,246.00","1,335.01"
01/25/2021,"1,352.00","1,473.54","1,313.54","1,345.18"
01/24/2021,"1,247.98","1,365.55","1,224.01","1,353.24"
01/23/2021,"1,246.13","1,272.56","1,198.12","1,248.50"
