Date,Open,High,Low,Close
04/14/2023,"2,007.63","2,130.00","2,006.22","2,107.57"
04/13/2023,"1,908.51","2,022.00","1,902.00","2,008.64"
04/12/2023,"1,894.61","1,930.00","1,860.06","1,908.85"
04/11/2023,"1,890.29","1,938.33","1,885.30","1,895.20"
04/10/2023,"1,856.92","1,904.61","1,848.00","1,885.87"
04/09/2023,"1,855.11","1,866.14","1,829.00","1,857.01"
04/08/2023,"1,853.74","1,879.00","1,849.00","1,855.68"
04/07/2023,"1,862.12","1,883.09","1,844.91","1,853.74"
04/06/2023,"1,905.27","1,913.03","1,856.24","1,865.02"
04/05/2023,"1,879.00","1,935.78","1,860.41","1,905.27"
04/04/2023,"1,775.60","1,889.91","1,770.73","1,879.00"
04/03/2023,"1,788.95","1,839.12","1,763.00","1,780.58"
04/02/2023,"1,817.06","1,826.21","1,775.00","1,789.24"
04/01/2023,"1,816.36","1,841.75","1,811.52","1,817.06"
03/31/2023,"1,795.23","1,846.00","1,782.04","1,817.14"
03/30/2023,"1,802.99","1,827.05","1,765.40","1,795.10"
03/29/2023,"1,774.52","1,823.99","1,764.08","1,803.13"
03/28/2023,"1,707.45","1,791.50","1,702.01","1,774.61"
03/27/2023,"1,761.52","1,782.91","1,690.18","1,707.60"
03/26/2023,"1,732.07","1,798.41","1,731.00","1,761.52"
03/25/2023,"1,749.71","1,762.94","1,717.86","1,732.01"
03/24/2023,"1,818.18","1,821.79","1,730.91","1,750.00"
03/23/2023,"1,736.34","1,858.43","1,718.33","1,817.20"
03/22/2023,"1,797.79","1,821.78","1,713.49","1,736.07"
03/21/2023,"1,760.27","1,837.00","1,725.25","1,798.20"
03/20/2023,"1,800.04","1,816.79","1,744.55","1,760.30"
03/19/2023,"1,795.64","1,844.23","1,755.57","1,799.55"
03/18/2023,"1,744.08","1,840.67","1,744.02","1,796.69"
03/17/2023,"1,659.37","1,766.08","1,659.37","1,743.94"
03/16/2023,"1,652.62","1,694.22","1,639.02","1,658.91"
03/15/2023,"1,705.04","1,721.07","1,617.88","1,652.89"
03/14/2023,"1,671.66","1,781.07","1,666.00","1,708.72"
03/13/2023,"1,558.49","1,699.97","1,544.57","1,672.75"
03/12/2023,"1,475.62","1,564.10","1,461.16","1,562.36"
03/11/2023,"1,426.65","1,485.75","1,415.01","1,475.61"
03/10/2023,"1,433.32","1,446.10","1,374.10","1,426.20"
03/09/2023,"1,552.64","1,553.28","1,411.00","1,432.87"
03/08/2023,"1,550.40","1,569.72","1,544.01","1,552.67"
03/07/2023,"1,566.50","1,582.59","1,536.90","1,550.40"
03/06/2023,"1,571.98","1,580.85","1,556.92","1,566.31"
03/05/2023,"1,556.44","1,587.22","1,553.85","1,571.74"
03/04/2023,"1,560.29","1,577.68","1,550.06","1,556.43"
03/03/2023,"1,641.01","1,655.06","1,548.00","1,558.69"
03/02/2023,"1,657.41","1,676.96","1,620.30","1,641.69"
03/01/2023,"1,600.98","1,667.95","1,597.91","1,656.70"
02/28/2023,"1,627.23","1,647.75","1,598.28","1,605.47"
02/27/2023,"1,642.62","1,664.22","1,611.00","1,627.28"
02/26/2023,"1,574.35","1,649.53","1,572.25","1,642.65"
02/25/2023,"1,602.99","1,610.94","1,559.63","1,574.00"
02/24/2023,"1,645.12","1,664.52","1,576.42","1,602.99"
02/23/2023,"1,619.32","1,678.00","1,618.29","1,646.58"
02/22/2023,"1,641.18","1,662.44","1,598.89","1,619.33"
02/21/2023,"1,700.70","1,716.03","1,637.65","1,641.12"
02/20/2023,"1,686.12","1,719.42","1,652.20","1,700.70"
02/19/2023,"1,688.00","1,722.92","1,671.67","1,686.12"
02/18/2023,"1,692.51","1,711.86","1,672.07","1,688.00"
02/17/2023,"1,683.10","1,719.99","1,630.69","1,695.34"
02/16/2023,"1,666.62","1,745.73","1,664.32","1,682.03"
02/15/2023,"1,556.24","1,674.41","1,544.00","1,665.44"
02/14/2023,"1,486.15","1,565.92","1,485.97","1,555.78"
02/13/2023,"1,509.54","1,525.14","1,464.38","1,486.15"
02/12/2023,"1,534.91","1,548.00","1,510.00","1,511.92"
02/11/2023,"1,506.89","1,537.00","1,505.15","1,535.60"
02/10/2023,"1,539.67","1,554.18","1,495.00","1,507.00"
02/09/2023,"1,652.80","1,655.53","1,525.80","1,541.00"
