Date,Open,High,Low,Close
04/17/2020,"0.1906","0.1934","0.1866","0.1898"
04/16/2020,"0.1854","0.1924","0.1741","0.1906"
04/15/2020,"0.1859","0.1900","0.1822","0.1854"
04/14/2020,"0.1890","0.1898","0.1841","0.1859"
04/13/2020,"0.1947","0.1948","0.1805","0.1886"
04/12/2020,"0.1863","0.1965","0.1853","0.1942"
04/11/2020,"0.1886","0.1925","0.1854","0.1863"
04/10/2020,"0.1989","0.1995","0.1819","0.1886"
04/09/2020,"0.2008","0.2026","0.1944","0.1986"
04/08/2020,"0.1910","0.2029","0.1903","0.2008"
04/07/2020,"0.1937","0.2053","0.1903","0.1914"
04/06/2020,"0.1786","0.1966","0.1777","0.1936"
04/05/2020,"0.1804","0.1827","0.1767","0.1786"
04/04/2020,"0.1781","0.1836","0.1779","0.1804"
04/03/2020,"0.1776","0.1830","0.1762","0.1782"
04/02/2020,"0.1737","0.1866","0.1730","0.1776"
04/01/2020,"0.1776","0.1782","0.1684","0.1736"
03/31/2020,"0.1736","0.1782","0.1706","0.1776"
03/30/2020,"0.1649","0.1751","0.1620","0.1734"
03/29/2020,"0.1772","0.1792","0.1624","0.1646"
03/28/2020,"0.1835","0.1875","0.1666","0.1777"
03/27/2020,"0.1653","0.1845","0.1653","0.1837"
03/26/2020,"0.1600","0.1653","0.1587","0.1653"
03/25/2020,"0.1626","0.1658","0.1576","0.1600"
03/24/2020,"0.1586","0.1645","0.1568","0.1626"
03/23/2020,"0.1511","0.1626","0.1458","0.1587"
03/22/2020,"0.1603","0.1619","0.1482","0.1511"
03/21/2020,"0.1523","0.1613","0.1499","0.1603"
03/20/2020,"0.1647","0.1754","0.1458","0.1520"
03/19/2020,"0.1464","0.1682","0.1447","0.1645"
03/18/2020,"0.1493","0.1510","0.1406","0.1464"
03/17/2020,"0.1388","0.1527","0.1379","0.1493"
03/16/2020,"0.1479","0.1634","0.1281","0.1388"
03/15/2020,"0.1515","0.1584","0.1434","0.1479"
03/14/2020,"0.1536","0.1637","0.1487","0.1515"
03/13/2020,"0.1551","0.1684","0.1168","0.1540"
03/12/2020,"0.2075","0.2100","0.1450","0.1556"
03/11/2020,"0.2130","0.2137","0.1996","0.2073"
03/10/2020,"0.2048","0.2157","0.2036","0.2130"
03/09/2020,"0.2110","0.2118","0.1982","0.2048"
03/08/2020,"0.2375","0.2380","0.2010","0.2114"
03/07/2020,"0.2437","0.2458","0.2356","0.2375"
03/06/2020,"0.2406","0.2465","0.2382","0.2437"
03/05/2020,"0.2332","0.2434","0.2332","0.2406"
03/04/2020,"0.2344","0.2381","0.2307","0.2332"
03/03/2020,"0.2413","0.2415","0.2298","0.2344"
03/02/2020,"0.2250","0.2413","0.2250","0.2413"
03/01/2020,"0.2339","0.2360","0.2241","0.2248"
02/29/2020,"0.2362","0.2427","0.2325","0.2339"
02/28/2020,"0.2377","0.2439","0.2285","0.2362"
02/27/2020,"0.2311","0.2476","0.2236","0.2380"
02/26/2020,"0.2558","0.2589","0.2234","0.2313"
02/25/2020,"0.2664","0.2710","0.2517","0.2558"
02/24/2020,"0.2812","0.2853","0.2642","0.2661"
02/23/2020,"0.2764","0.2854","0.2745","0.2812"
02/22/2020,"0.2727","0.2781","0.2709","0.2764"
02/21/2020,"0.2724","0.2791","0.2686","0.2727"
02/20/2020,"0.2795","0.2842","0.2610","0.2722"
02/19/2020,"0.2981","0.3083","0.2710","0.2801"
02/18/2020,"0.2837","0.3032","0.2771","0.2980"
