Date,Open,High,Low,Close
04/14/2023,"0.5128","0.5461","0.5115","0.5265"
04/13/2023,"0.5036","0.5158","0.5018","0.5128"
04/12/2023,"0.5164","0.5187","0.5002","0.5034"
04/11/2023,"0.5119","0.5282","0.5111","0.5162"
04/10/2023,"0.5046","0.5137","0.5005","0.5119"
04/09/2023,"0.5060","0.5088","0.4993","0.5046"
04/08/2023,"0.5102","0.5145","0.5030","0.5060"
04/07/2023,"0.5041","0.5148","0.4970","0.5116"
04/06/2023,"0.5047","0.5094","0.4927","0.5041"
04/05/2023,"0.5074","0.5267","0.4989","0.5047"
04/04/2023,"0.4888","0.5076","0.4847","0.5074"
04/03/2023,"0.5183","0.5244","0.4902","0.4906"
04/02/2023,"0.5090","0.5290","0.5020","0.5183"
04/01/2023,"0.5442","0.5480","0.4990","0.5090"
03/31/2023,"0.5340","0.5491","0.5260","0.5450"
03/30/2023,"0.5504","0.5573","0.5248","0.5340"
03/29/2023,"0.5244","0.5823","0.5123","0.5512"
03/28/2023,"0.4737","0.5277","0.4688","0.5242"
03/27/2023,"0.4438","0.4882","0.4429","0.4737"
03/26/2023,"0.4524","0.4638","0.4411","0.4438"
03/25/2023,"0.4236","0.4648","0.4178","0.4522"
03/24/2023,"0.4430","0.4469","0.4164","0.4241"
03/23/2023,"0.4247","0.4555","0.4128","0.4416"
03/22/2023,"0.4885","0.4887","0.4106","0.4246"
03/21/2023,"0.3778","0.4926","0.3732","0.4903"
03/20/2023,"0.3886","0.3939","0.3720","0.3779"
03/19/2023,"0.3801","0.4011","0.3732","0.3879"
03/18/2023,"0.3748","0.3903","0.3717","0.3801"
03/17/2023,"0.3630","0.3828","0.3630","0.3748"
03/16/2023,"0.3621","0.3677","0.3577","0.3630"
03/15/2023,"0.3761","0.3774","0.3574","0.3623"
03/14/2023,"0.3730","0.3881","0.3668","0.3761"
03/13/2023,"0.3654","0.3814","0.3572","0.3731"
03/12/2023,"0.3641","0.3680","0.3518","0.3655"
03/11/2023,"0.3700","0.3770","0.3612","0.3641"
03/10/2023,"0.3685","0.3750","0.3574","0.3700"
03/09/2023,"0.3922","0.3972","0.3646","0.3682"
03/08/2023,"0.3827","0.4009","0.3725","0.3922"
03/07/2023,"0.3712","0.3843","0.3670","0.3829"
03/06/2023,"0.3695","0.3736","0.3594","0.3712"
03/05/2023,"0.3703","0.3771","0.3670","0.3695"
03/04/2023,"0.3731","0.3804","0.3684","0.3703"
03/03/2023,"0.3785","0.3792","0.3557","0.3727"
03/02/2023,"0.3827","0.3846","0.3738","0.3785"
03/01/2023,"0.3767","0.3842","0.3730","0.3827"
02/28/2023,"0.3790","0.3823","0.3720","0.3767"
02/27/2023,"0.3784","0.3793","0.3709","0.3790"
02/26/2023,"0.3743","0.3806","0.3737","0.3784"
02/25/2023,"0.3751","0.3793","0.3696","0.3743"
02/24/2023,"0.3888","0.3906","0.3732","0.3751"
02/23/2023,"0.3935","0.3975","0.3859","0.3888"
02/22/2023,"0.3896","0.3970","0.3835","0.3935"
02/21/2023,"0.3995","0.4015","0.3876","0.3896"
02/20/2023,"0.3886","0.4085","0.3790","0.3995"
02/19/2023,"0.3937","0.3973","0.3852","0.3886"
02/18/2023,"0.3953","0.3974","0.3902","0.3937"
02/17/2023,"0.3922","0.3999","0.3814","0.3961"
02/16/2023,"0.3995","0.4044","0.3914","0.3922"
02/15/2023,"0.3784","0.4024","0.3768","0.3995"
02/14/2023,"0.3727","0.3801","0.3649","0.3784"
02/13/2023,"0.3777","0.3784","0.3632","0.3727"
02/12/2023,"0.3835","0.3849","0.3771","0.3777"
02/11/2023,"0.3806","0.3837","0.3802","0.3833"
02/10/2023,"0.3851","0.3876","0.3730","0.3810"
02/09/2023,"0.3984","0.4086","0.3804","0.3853"
02/08/2023,"0.4022","0.4058","0.3944","0.3987"
02/07/2023,"0.3969","0.4026","0.3904","0.4022"
02/06/2023,"0.3975","0.4036","0.3941","0.3970"
02/05/2023,"0.4143","0.4155","0.3955","0.3975"
02/04/2023,"0.4107","0.4204","0.4079","0.4143"
02/03/2023,"0.4090","0.4135","0.4056","0.4107"
02/02/2023,"0.4133","0.4188","0.4088","0.4088"
02/01/2023,"0.4045","0.4151","0.3968","0.4134"
01/31/2023,"0.3935","0.4112","0.3881","0.4045"
01/30/2023,"0.4132","0.4219","0.3910","0.3935"
01/29/2023,"0.4076","0.4172","0.4064","0.4132"
01/28/2023,"0.4113","0.4164","0.4059","0.4076"
01/27/2023,"0.4118","0.4136","0.3990","0.4113"
01/26/2023,"0.4206","0.4239","0.4055","0.4118"
01/25/2023,"0.4161","0.4215","0.3977","0.4206"
01/24/2023,"0.4281","0.4309","0.4146","0.4161"
01/23/2023,"0.4002","0.4330","0.3978","0.4282"
01/22/2023,"0.4119","0.4120","0.3968","0.4002"
01/21/2023,"0.4103","0.4162","0.4018","0.4119"
01/20/2023,"0.3919","0.4141","0.3861","0.4106"
01/19/2023,"0.3852","0.3957","0.3766","0.3919"
01/18/2023,"0.3913","0.3960","0.3664","0.3852"
01/17/2023,"0.3881","0.3983","0.3794","0.3919"
01/16/2023,"0.3855","0.4060","0.3787","0.3881"
